id	Taxa	taxon
S000000256	Rhodococcus erythropolis	Rhodococcus
S000000391	Arthrobacter ramosus	Arthrobacter
S000000827	Streptomyces arenae	Streptomyces
S000001617	Nocardiopsis dassonvillei	Nocardiopsis
S000001636	Streptomyces odorifer	Streptomyces
S000002044	Streptomyces virginiae	Streptomyces
S000002402	Streptomyces felleus	Streptomyces
S000003580	Streptosporangium vulgare	Streptosporangium
S000003980	Streptomyces violarus	Streptomyces
S000004412	Xanthomonas vesicatoria	Xanthomonas
S000004786	Rhodococcus fascians	Rhodococcus
S000004827	Clostridium haemolyticum	Clostridium
S000005060	Facklamia ignava	Facklamia
S000005539	Streptomyces albidoflavus	Streptomyces
S000006665	Streptomyces limosus	Streptomyces
S000007083	Streptomyces indonesiensis	Streptomyces
S000008531	Nocardiopsis dassonvillei	Nocardiopsis
S000008561	Streptomyces canescens	Streptomyces
S000008975	Xanthomonas arboricola	Xanthomonas
S000009302	Streptomyces longisporus	Streptomyces
S000010876	Streptomyces roseoviolaceus	Streptomyces
S000010893	Xanthomonas cucurbitae	Xanthomonas
S000011639	Streptomyces coelicolor	Streptomyces
S000012675	Aeromonas popoffii	Aeromonas
S000012757	Pseudomonas alcaligenes	Pseudomonas
S000013503	Wolbachia pipientis	Wolbachia
S000013687	Eubacterium barkeri	Eubacterium
S000014133	Bacillus atrophaeus	Bacillus
S000014552	Streptomyces griseus	Streptomyces
S000014993	Mycobacterium tuberculosis	Mycobacterium
S000015066	Nonomuraea dietziae	Nonomuraea
S000015432	Xanthomonas cassavae	Xanthomonas
S000015833	Microcystis aeruginosa	Microcystis
S000016010	Aminobacter niigataensis	Aminobacter
S000018802	Actinobacillus scotiae	Actinobacillus
S000020770	Thermus igniterrae	Thermus
S000022165	Mycobacterium gastri	Mycobacterium
S000022475	Xanthomonas hortorum	Xanthomonas
S000084736	Streptomyces albogriseolus	Streptomyces
S000088253	Oerskovia paurometabola	Oerskovia
S000089166	Vibrio xuii	Vibrio
S000090477	Vibrio chagasii	Vibrio
S000099314	Vibrio sp.	Vibrio
S000108891	Pseudomonas kilonensis	Pseudomonas
S000113115	Brevundimonas aurantiaca	Brevundimonas
S000130468	Desulfovibrio longreachensis	Desulfovibrio
S000133896	Deferribacter desulfuricans	Deferribacter
S000247799	Vibrio tasmaniensis	Vibrio
S000265215	Rhizobium pisi	Rhizobium
S000270387	Bradyrhizobium sp.	Bradyrhizobium
S000270584	Streptomyces niger	Streptomyces
S000271817	Streptomyces olivaceiscleroticus	Streptomyces
S000271818	Streptomyces rimosus	Streptomyces
S000340900	Idiomarina loihiensis	Idiomarina
S000363265	Helicobacter bilis	Helicobacter
S000364380	Rhodococcus ruber	Rhodococcus
S000365818	Halomonas hydrothermalis	Halomonas
S000373337	Bacillus koreensis	Bacillus
S000381394	Xanthomonas campestris	Xanthomonas
S000381463	Thiorhodococcus minor	Thiorhodococcus
S000381739	Enterobacter asburiae	Enterobacter
S000382981	Tenacibaculum mesophilum	Tenacibaculum
S000383146	Actinoplanes consettensis	Actinoplanes
S000383154	Actinoplanes humidus	Actinoplanes
S000383159	Actinoplanes palleronii	Actinoplanes
S000387334	Helicobacter sp.	Helicobacter
S000387938	Pandoraea apista	Pandoraea
S000387939	Pandoraea pnomenusa	Pandoraea
S000388163	Burkholderia stabilis	Burkholderia
S000388573	Rhodococcus pyridinivorans	Rhodococcus
S000389043	Bartonella birtlesii	Bartonella
S000389736	Dethiosulfovibrio marinus	Dethiosulfovibrio
S000390521	Nocardia cummidelens	Nocardia
S000390947	Mesoplasma florum	Mesoplasma
S000391436	Anabaena sp.	Anabaena
S000391774	Helicobacter marmotae	Helicobacter
S000392337	Bradyrhizobium liaoningense	Bradyrhizobium
S000392963	Trichococcus patagoniensis	Trichococcus
S000394148	Prauserella alba	Prauserella
S000395040	Pseudomonas umsongensis	Pseudomonas
S000395042	Pseudomonas koreensis	Pseudomonas
S000399887	Mesoplasma grammopterae	Mesoplasma
S000400216	Gluconacetobacter swingsii	Gluconacetobacter
S000400518	Mesoplasma tabanidae	Mesoplasma
S000413727	Acidiphilium angustum	Acidiphilium
S000413728	Acidiphilium cryptum	Acidiphilium
S000413731	Acidiphilium rubrum	Acidiphilium
S000413948	Lactobacillus paracasei	Lactobacillus
S000414096	Chlamydophila abortus	Chlamydophila
S000414226	Bifidobacterium saeculare	Bifidobacterium
S000414547	Brucella melitensis	Brucella
S000414629	Nitrospina gracilis	Nitrospina
S000414668	Rickettsia sibirica	Rickettsia
S000414717	Staphylococcus warneri	Staphylococcus
S000416838	Algoriphagus aquimarinus	Algoriphagus
S000428332	Pseudomonas cedrina	Pseudomonas
S000428396	Nitrobacter alkalicus	Nitrobacter
S000429467	Marinobacter litoralis	Marinobacter
S000429490	Mycobacterium poriferae	Mycobacterium
S000429506	Mycobacterium africanum	Mycobacterium
S000429663	Ralstonia insidiosa	Ralstonia
S000437035	Bordetella bronchiseptica	Bordetella
S000437162	Heliobacterium modesticaldum	Heliobacterium
S000439350	Streptomyces griseus	Streptomyces
S000448051	Pasteurella multocida	Pasteurella
S000448052	Pasteurella multocida	Pasteurella
S000463373	Mycobacterium massiliense	Mycobacterium
S000471716	Bacillus muralis	Bacillus
S000471778	Actinomyces dentalis	Actinomyces
S000473170	Mycobacterium houstonense	Mycobacterium
S000475562	Bacillus amyloliquefaciens	Bacillus
S000483421	Shewanella morhuae	Shewanella
S000495764	Nocardioides sp.	Nocardioides
S000499737	Pseudoxanthomonas taiwanensis	Pseudoxanthomonas
S000528001	Kocuria himachalensis	Kocuria
S000532739	Burkholderia phenoliruptrix	Burkholderia
S000543967	Mycobacterium florentinum	Mycobacterium
S000544200	Streptomyces griseoincarnatus	Streptomyces
S000544207	Streptomyces erythrogriseus	Streptomyces
S000544210	Streptomyces fulvorobeus	Streptomyces
S000544230	Streptomyces libani	Streptomyces
S000544232	Streptomyces lienomycini	Streptomyces
S000544233	Streptomyces mediolani	Streptomyces
S000544234	Streptomyces nojiriensis	Streptomyces
S000544236	Streptomyces mutomycini	Streptomyces
S000544245	Streptomyces rangoonensis	Streptomyces
S000544249	Streptomyces spororaveus	Streptomyces
S000544254	Streptomyces netropsis	Streptomyces
S000544259	Streptomyces tricolor	Streptomyces
S000575167	Pseudoalteromonas spongiae	Pseudoalteromonas
S000608913	Clostridium schirmacherense	Clostridium
S000608915	Nitrobacter vulgaris	Nitrobacter
S000617251	Actinospica robiniae	Actinospica
S000618288	Phyllobacterium leguminum	Phyllobacterium
S000618290	Phyllobacterium ifriqiyense	Phyllobacterium
S000627041	Streptomyces cheonanensis	Streptomyces
S000652842	Brucella pinnipedialis	Brucella
S000652843	Brucella ceti	Brucella
S000690544	Aeromonas hydrophila	Aeromonas
S000721496	Brucella sp.	Brucella
S000965361	Sporolactobacillus terrae	Sporolactobacillus
S001014161	Bacillus stratosphericus	Bacillus
S001014162	Bacillus aerophilus	Bacillus
S001156816	Allochromatium minutissimum	Allochromatium
