Acrocarpospora corrugata	Microbispora rosea
Xanthomonas bromi	Xanthomonas vesicatoria
Xanthomonas pisi	Xanthomonas vesicatoria
Streptosporangium nondiastaticum	Planomonospora parontospora
Shewanella sairae	Shewanella marinintestina
Aeromonas bestiarum	Aeromonas salmonicida
Streptomyces coelescens	Streptomyces coelicolor
Streptomyces griseus	Streptomyces erumpens
Klebsiella variicola	Klebsiella pneumoniae
Streptococcus bovis	Streptococcus equinus
Yersinia pestis	Yersinia pseudotuberculosis
Actinoalloteichus cyanogriseus	Streptomyces laceyi
Staphylococcus xylosus	Staphylococcus saprophyticus
Mycobacterium psychrotolerans	Mycobacterium fortuitum
Burkholderia vietnamiensis	Burkholderia ambifaria
Bacteroidetes bacterium	Polaribacter butkevichii
Acetobacter pasteurianus	Acetobacter peroxydans
Enterococcus caccae	Enterococcus silesiacus
Pseudomonas stutzeri	Pseudomonas chloritidismutans
Streptomyces spinoverrucosus	Streptomyces purpurascens
Streptomyces cinnamoneus	Streptomyces sapporonensis
Dyella koreensis	Dyella soli
Mycobacterium phocaicum	Mycobacterium mucogenicum
Sinorhizobium americanum	Sinorhizobium fredii
