id	Taxa	taxon
S000000222	Carnimonas nigrifaciens	Carnimonas nigrificans
S000002381	Pseudomonas amygdali	Pseudomonas ficuserectae
S000002959	Microbacterium trichotecenolyticum	Microbacterium trichothecenolyticum
S000004727	Hamadaea tsunoensis	Catellatospora tsunoense
S000006317	Aliivibrio fischeri	Vibrio fischeri
S000006685	Taxeobacter ocellatus	Hymenobacter ocellatus
S000007578	Acrocarpospora corrugata	Microbispora rosea
S000010347	Beutenbergia cavernosa	Beutenbergia cavernae
S000010403	Candidauts Magnetobacterium	Candidatus Magnetobacterium bavaricum
S000011833	Streptomyces griseus	Streptomyces argenteolus
S000012343	Clostridium sp.	Clostridium isatidis
S000012797	Xanthomonas bromi	Xanthomonas vesicatoria
S000014116	Candidatus Helicobacter	Candidatus Helicobacter heilmannii
S000015789	Xanthomonas campestris	Xanthomonas hyacinthi
S000015790	Xanthomonas pisi	Xanthomonas vesicatoria
S000015791	Xanthomonas vasicola	Xanthomonas axonopodis
S000016631	Streptosporangium nondiastaticum	Planomonospora parontospora
S000016939	Gordonia rubripertinctus	Gordonia rubripertincta
S000021216	Rhizobium larrymoorei	Agrobacterium larrymoorei
S000083870	Isoptericola variabile	Isoptericola variabilis
S000089782	Blastomonas ursincola	Sphingomonas ursincola
S000091708	Allokutzneria albata	Kibdelosporangium albatum
S000099372	Lactobacillus durianis	Lactobacillus vaccinostercus
S000113071	Bacillus silvestris	Solibacillus silvestris
S000122852	Shewanella sairae	Shewanella marinintestina
S000128881	Novispirillum itersonii	Novospirillum itersonii
S000136808	Chlorobium clathratiforme	Pelodictyon clathratiforme
S000137057	Chlorobium luteolum	Pelodictyon luteolum
S000141396	Teichococcus ludipueritiae	Roseomonas ludipueritiae
S000142049	Aeromonas bestiarum	Aeromonas salmonicida
S000142444	Muricoccus roseus	Roseomonas rosea
S000143178	Streptomyces coelescens	Streptomyces coelicolor
S000146513	Sporosarcina macmurdoensis	Paenisporosarcina macmurdoensis
S000247785	Deinococcus sp.	Deinococcus frigens
S000247787	Deinococcus sp.	Deinococcus saxicola
S000247788	Deinococcus sp.	Deinococcus marmoris
S000270583	Streptomyces griseus	Streptomyces erumpens
S000324392	Klebsiella variicola	Klebsiella pneumoniae
S000333610	Citricella thiooxidans	Citreicella thiooxidans
S000352703	Spirochaeta sp.	Spirochaeta coccoides
S000356576	Candidatus Phytoplasma	Candidatus Phytoplasma ulmi
S000358005	Candidatus Cardinium	Candidatus Cardinium hertigii
S000363187	Helicobacter sp.	Helicobacter pametensis
S000364328	Ensifer meliloti	Sinorhizobium meliloti
S000364331	Rhizobium vitis	Agrobacterium vitis
S000364334	Rhizobium rubi	Agrobacterium rubi
S000364342	Ensifer terangae	Sinorhizobium terangae
S000364344	Ensifer saheli	Sinorhizobium saheli
S000364783	Nocardia sp.	Nocardia anaemiae
S000366449	Candidatus Phytoplasma	Candidatus Phytoplasma mali
S000366451	Candidatus Phytoplasma	Candidatus Phytoplasma pyri
S000366452	Candidatus Phytoplasma	Candidatus Phytoplasma prunorum
S000366461	Candidatus Devosia	Candidatus Devosia euplotis
S000366465	Candidatus Phytoplasma	Candidatus Phytoplasma cynodontis
S000368724	Candidatus Phytoplasma	Candidatus Phytoplasma trifolii
S000381077	Alicyclobacillus disulfidooxydans	Alicyclobacillus disulfidooxidans
S000381172	Dickeya chrysanthemi	Erwinia chrysanthemi
S000381650	Streptococcus bovis	Streptococcus equinus
S000381995	Candidatus Phytoplasma	Candidatus Phytoplasma japonicum
S000383720	Candidatus Phytoplasma	Candidatus Phytoplasma castaneae
S000386953	Moraxella (Moraxella)	Moraxella lacunata
S000386975	Moraxella (Moraxella)	Moraxella bovis
S000386978	Moraxella (Branhamella)	Moraxella catarrhalis
S000386979	Moraxella (Branhamella)	Moraxella ovis
S000386980	Moraxella (Branhamella)	Moraxella caviae
S000387300	Thialkalimicrobium sibericum	Thioalkalimicrobium sibiricum
S000388154	Candidatus Phytoplasma	Candidatus Phytoplasma brasiliense
S000388391	Actinomadura spadix	Actinoallomurus spadix
S000388482	Bacillus pycnus	Rummeliibacillus pycnus
S000388556	Catelliglobosispora koreensis	Catellatospora koreensis
S000388584	Caldanaerobacter subterraneus	Carboxydibrachium pacificum
S000388686	Candidatus Procabacter	Candidatus Procabacter acanthamoebae
S000388715	Defluvicoccus vanus	Defluviicoccus vanus
S000388994	Methylobacterium extorquens	Methylobacterium chloromethanicum
S000389130	Caldanaerobacter subterraneus	Thermoanaerobacter tengcongensis
S000389225	Caldanaerobacter subterraneus	Thermoanaerobacter yonseiensis
S000389301	Candidatus Xiphinematobacter	Candidatus Xiphinematobacter americani
S000389302	Candidatus Xiphinematobacter	Candidatus Xiphinematobacter rivesi
