id	sppErrors.taxa	sppErrors.level	sppErrors.taxon	Taxa	taxon	diff	citation	corpus.genus	my.assignment	agreement.
S000000222	Carnimonas nigrifaciens	SPECIES	Carnimonas nigrificans	Carnimonas nigrifaciens	Carnimonas nigrificans	spelling		Carnimonas	Carnimonas	1
S000002381	Pseudomonas amygdali	SPECIES	Pseudomonas ficuserectae	Pseudomonas amygdali	Pseudomonas ficuserectae	synonym	http://www.ncbi.nlm.nih.gov/pubmed/10319466	Pseudomonas	Pseudomonas	NA
S000002959	Microbacterium trichotecenolyticum	SPECIES	Microbacterium trichothecenolyticum	Microbacterium trichotecenolyticum	Microbacterium trichothecenolyticum	spelling		Microbacterium	Microbacterium	1
S000004727	Hamadaea tsunoensis	SPECIES	Catellatospora tsunoense	Hamadaea tsunoensis	Catellatospora tsunoense	synonym	http://ijs.sgmjournals.org/cgi/content/full/58/8/1950	Hamadaea	Catellatospora	NA
S000006317	Aliivibrio fischeri	SPECIES	Vibrio fischeri	Aliivibrio fischeri	Vibrio fischeri	synonym	http://www.ncbi.nlm.nih.gov/pubmed/18048732?dopt=Abstract	Aliivibrio	Vibrio	NA
S000006685	Taxeobacter ocellatus	SPECIES	Hymenobacter ocellatus	Taxeobacter ocellatus	Hymenobacter ocellatus	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/56/9/2071	Taxeobacter	Hymenobacter	NA
S000007578	Acrocarpospora corrugata	SPECIES	Microbispora rosea	Acrocarpospora corrugata	Microbispora rosea	ambig/review		Acrocarpospora	Microbispora	NA
S000010347	Beutenbergia cavernosa	SPECIES	Beutenbergia cavernae	Beutenbergia cavernosa	Beutenbergia cavernae	spelling		Beutenbergia	Beutenbergia	1
S000010403	Candidauts Magnetobacterium	SPECIES	Candidatus Magnetobacterium	Candidauts Magnetobacterium	Candidatus Magnetobacterium bavaricum	PATHOVAR		Candidauts	Candidatus	NA
S000011833	Streptomyces griseus	SPECIES	Streptomyces argenteolus	Streptomyces griseus	Streptomyces argenteolus	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/55/4/1605	Streptomyces	Streptomyces	NA
S000012343	Clostridium sp.	SPECIES	Clostridium isatidis	Clostridium sp.	Clostridium isatidis	SPECIFICITY		Clostridium	Clostridium	1
S000012797	Xanthomonas bromi	SPECIES	Xanthomonas vesicatoria	Xanthomonas bromi	Xanthomonas vesicatoria	ambig/review		Xanthomonas	Xanthomonas	1
S000015789	Xanthomonas campestris	SPECIES	Xanthomonas hyacinthi	Xanthomonas campestris	Xanthomonas hyacinthi	PATHOVAR		Xanthomonas	Xanthomonas	1
S000015790	Xanthomonas pisi	SPECIES	Xanthomonas vesicatoria	Xanthomonas pisi	Xanthomonas vesicatoria	ambig/review		Xanthomonas	Xanthomonas	1
S000015791	Xanthomonas vasicola	SPECIES	Xanthomonas axonopodis	Xanthomonas vasicola	Xanthomonas axonopodis	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/45/3/472	Xanthomonas	Xanthomonas	NA
S000016631	Streptosporangium nondiastaticum	SPECIES	Planomonospora parontospora	Streptosporangium nondiastaticum	Planomonospora parontospora	ambig/review		Streptosporangium	Planomonospora	NA
S000016939	Gordonia rubripertinctus	SPECIES	Gordonia rubripertincta	Gordonia rubripertinctus	Gordonia rubripertincta	spelling		Gordonia	Gordonia	1
S000021216	Rhizobium larrymoorei	SPECIES	Agrobacterium larrymoorei	Rhizobium larrymoorei	Agrobacterium larrymoorei	synonym	http://www.ncbi.nlm.nih.gov/pubmed/11211278	Rhizobium	Agrobacterium	NA
S000083870	Isoptericola variabile	SPECIES	Isoptericola variabilis	Isoptericola variabile	Isoptericola variabilis	spelling		Isoptericola	Isoptericola	1
S000089782	Blastomonas ursincola	SPECIES	Sphingomonas ursincola	Blastomonas ursincola	Sphingomonas ursincola	synonym	http://www.ncbi.nlm.nih.gov/pubmed/12361250?dopt=Citation	Blastomonas	Sphingomonas	NA
S000091708	Allokutzneria albata	SPECIES	Kibdelosporangium albatum	Allokutzneria albata	Kibdelosporangium albatum	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/58/6/1472	Allokutzneria	Kibdelosporangium	NA
S000099372	Lactobacillus durianis	SPECIES	Lactobacillus vaccinostercus	Lactobacillus durianis	Lactobacillus vaccinostercus	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/56/8/1721	Lactobacillus	Lactobacillus	NA
S000113071	Bacillus silvestris	SPECIES	Solibacillus silvestris	Bacillus silvestris	Solibacillus silvestris	synonym	http://ijs.sgmjournals.org.proxy.uchicago.edu/cgi/content/full/59/5/1054	Bacillus	Solibacillus	NA
S000122852	Shewanella sairae	SPECIES	Shewanella marinintestina	Shewanella sairae	Shewanella marinintestina	ambig/review		Shewanella	Shewanella	1
S000128881	Novispirillum itersonii	SPECIES	Novospirillum itersonii	Novispirillum itersonii	Novospirillum itersonii	spelling		Novispirillum	Novospirillum	1
S000136808	Chlorobium clathratiforme	SPECIES	Pelodictyon clathratiforme	Chlorobium clathratiforme	Pelodictyon clathratiforme	synonym	http://ijs.sgmjournals.org/cgi/content/abstract/53/4/941	Chlorobium	Pelodictyon	NA
