id	Taxa	level	taxon	score	topscore	% ident	cov	full	votesfor	votestotal	newOrder	mismatches
16	S000000222	Carnimonas nigrifaciens	SPECIES	Carnimonas nigrificans	2999	2999	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Oceanospirillales:Halomonadaceae:Carnimonas:Carnimonas nigrificans	1	1	10	MISMATCH_SPECIES
149	S000002381	Pseudomonas amygdali	SPECIES	Pseudomonas ficuserectae	2856	2856	100	1	Bacteria::Proteobacteria:Gammaproteobacteria:Pseudomonadales:Pseudomonadaceae:Pseudomonas:Pseudomonas ficuserectae	1	1	10	MISMATCH_SPECIES
178	S000002959	Microbacterium trichotecenolyticum	SPECIES	Microbacterium trichothecenolyticum	2841	2841	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Microbacteriaceae:Microbacterium:Microbacterium trichothecenolyticum	1	1	10	MISMATCH_SPECIES
298	S000004727	Hamadaea tsunoensis	SPECIES	Catellatospora tsunoense	2878	2878	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Micromonosporaceae:Catellatospora:Catellatospora tsunoense	1	1	10	MISMATCH_SPECIES
406	S000006317	Aliivibrio fischeri	SPECIES	Vibrio fischeri	2872	2872	100	0.997955010224949	Bacteria::Proteobacteria:Gammaproteobacteria:Vibrionales:Vibrionaceae:Aliivibrio:Vibrio fischeri	1	1	10	MISMATCH_SPECIES
425	S000006685	Taxeobacter ocellatus	SPECIES	Hymenobacter ocellatus	2932	2932	100	1	Bacteria::Bacteroidetes:Sphingobacteria:Sphingobacteriales:Flexibacteraceae:Hymenobacter:Hymenobacter ocellatus	1	1	10	MISMATCH_SPECIES
477	S000007578	Acrocarpospora corrugata	SPECIES	Microbispora rosea	2111	2111	97.11	0.885401459854015	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptosporangiaceae:Microbispora:Microbispora rosea	1	1	10	MISMATCH_SPECIES
632	S000010347	Beutenbergia cavernosa	SPECIES	Beutenbergia cavernae	2944	2944	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Beutenbergiaceae:Beutenbergia:Beutenbergia cavernae	1	1	10	MISMATCH_SPECIES
643	S000010403	Candidauts Magnetobacterium	SPECIES	Candidatus Magnetobacterium	2999	2999	100	1	Bacteria::Nitrospirae:Nitrospira (class):Nitrospirales:Nitrospiraceae:Candidatus Magnetobacterium:Candidatus Magnetobacterium	1	1	10	MISMATCH_SPECIES
715	S000011833	Streptomyces griseus	SPECIES	Streptomyces argenteolus	2942	2942	100	1	Bacteria::Actinobacteria:Actinobacteria (class):Actinomycetales:Streptomycetaceae:Streptomyces:Streptomyces argenteolus	1	1	10	MISMATCH_SPECIES
